time,ax,ay,az,aT
0.0030,-0.4836,-0.4307,-3.1815,3.247
0.0050,-0.4773,-0.5966,-3.7052,3.783
0.0310,-0.4054,-0.7211,-4.2890,4.368
0.0320,-0.2810,-0.8528,-4.5425,4.630
0.0360,-0.0502,-1.0204,-4.3676,4.485
0.1000,0.1176,-1.1794,-4.2705,4.432
0.1020,0.1913,-1.2320,-4.4085,4.581
0.1040,0.1118,-1.1705,-4.3099,4.467
0.1050,0.0394,-1.1309,-4.5490,4.688
0.1100,0.2216,-1.2196,-4.7707,4.929
0.1110,0.6146,-1.6532,-4.5839,4.912
0.1120,1.4856,-2.0272,-4.1881,4.884
0.1140,2.6051,-2.1972,-2.2759,4.098
0.1250,3.5071,-2.1299,0.9821,4.219
0.1580,1.0995,-2.2377,1.7136,3.025
0.1590,-0.6180,-2.6927,-0.1650,2.768
0.1600,-4.9458,-2.3330,-1.5015,5.671
0.2210,-4.3019,-3.3352,-2.9379,6.186
0.2240,-1.4804,-3.3813,-2.7500,4.603
0.2260,0.6924,-2.6537,-2.3175,3.591
0.2280,0.3833,-1.2285,-2.6189,2.918
0.2310,0.6075,-1.3299,-4.8654,5.080
0.2320,-0.0764,-0.8591,-6.0544,6.115
0.2340,-0.6351,0.4233,-6.6824,6.726
0.2350,1.2706,2.7124,-5.2443,6.039
0.2810,3.3526,5.0790,-1.5905,6.290
0.2830,4.8438,5.5076,1.4480,7.476
0.2850,3.5224,3.0413,2.5264,5.295
0.2870,3.1621,0.8950,5.0430,6.019
0.2900,2.7114,0.1636,7.4010,7.884
0.2930,1.6614,0.6907,7.7454,7.952
0.3270,0.7315,2.1870,6.8508,7.229
0.3290,1.1497,3.9027,5.2215,6.619
0.3300,0.3529,4.2076,5.5665,6.987
0.3350,0.8825,5.1251,4.6328,6.965
0.3520,1.8268,5.8575,5.8226,8.459
0.3540,0.3504,6.3261,8.3567,10.487
0.3980,-0.1499,4.1163,10.3155,11.107
0.4000,1.9674,1.9506,10.3422,10.707
0.4030,-0.9891,3.9346,10.3769,11.142
0.4050,-3.2824,1.3411,10.4325,11.019
0.4070,-4.3301,0.0696,10.4862,11.345
0.4550,-3.0831,1.4061,10.5338,11.065
0.4580,-0.7474,1.7303,7.3539,7.592
0.4600,-1.1507,2.1474,8.9968,9.321
0.4620,0.5441,2.8193,9.6724,10.090
0.4640,0.1367,2.1440,7.6183,7.915
0.4650,0.2823,1.6818,2.6215,3.127
0.4730,-0.1693,1.5450,0.5638,1.653
0.4960,-0.2924,2.1298,-0.2145,2.160
0.4980,-1.2199,1.9011,-1.7295,2.845
0.6480,0.0819,1.6855,0.2456,1.705
0.6520,1.8230,0.7783,4.9838,5.364
0.6560,3.1345,0.7372,6.6172,7.359
0.6590,2.7750,1.5406,5.0046,5.926
0.6630,0.9142,2.5709,1.5951,3.161
0.6670,-0.8705,2.9294,-0.4202,3.085
0.6700,-3.0350,1.9660,-0.5024,3.651
0.6750,-2.4419,0.7266,0.5523,2.607
0.6770,-0.9663,-1.1574,0.2091,1.522
0.6790,-0.5401,-2.0750,-1.7236,2.751
0.6820,-2.3980,-3.3060,-2.4710,4.774
0.6850,-1.8661,-2.8700,-0.9378,3.549
0.6880,-0.9966,-3.3839,-0.1475,3.531
0.6910,-0.5234,-3.0258,-0.0698,3.071
0.6930,-0.4700,-3.0524,0.0013,3.088
0.6970,-0.2945,-2.9139,0.2578,2.940
0.6990,-0.2324,-2.5933,-0.6288,2.679
0.7020,-0.5456,-2.8195,-1.9800,3.488
0.7050,-0.8520,-3.0317,-3.7810,4.921
0.7080,-1.3443,-3.3833,-6.3495,7.319
0.7110,-1.2285,-3.2996,-7.6015,8.377
0.7200,-1.7077,-3.0137,-9.5528,10.161
0.7290,-2.0332,-5.2076,-12.1080,13.336
0.7380,-1.9475,-4.8112,-14.5528,15.451
0.7470,-1.6863,-4.7236,-15.0750,15.887
0.7570,-1.1706,-4.2778,-14.2377,14.912
0.7810,-0.7185,-4.0635,-12.9951,13.635
0.7830,-0.4036,-3.9562,-11.5852,12.249
0.7850,-0.4899,-4.0633,-10.6708,11.429
0.7910,-0.5412,-4.2848,-10.1300,11.012
0.8010,-0.3084,-4.3299,-9.6405,10.573
0.8250,-0.2490,-4.2730,-9.3874,10.317
0.8260,-0.5216,-4.6629,-8.8713,10.036
0.8310,0.3798,-4.5570,-9.1757,10.252
0.8800,1.1592,-3.9977,-9.3018,10.191
0.8810,0.4868,-4.1146,-9.4997,10.364
0.8840,-0.3634,-4.6129,-9.1849,10.285
0.8880,-0.8588,-4.6266,-9.1321,10.273
0.8910,-1.9635,-4.6964,-8.9985,10.339
0.8950,-2.4130,-4.6654,-8.7094,10.171
0.9370,-2.0212,-4.4957,-8.5601,9.878
0.9400,-0.6024,-4.2891,-8.8928,9.891
0.9420,0.4658,-4.5948,-8.8712,10.001
0.9430,1.1842,-4.6355,-8.4532,9.713
0.9450,1.3405,-4.8867,-7.7163,9.231
0.9500,1.0641,-5.1303,-9.1286,10.525
1.0240,0.8184,-4.1509,-11.7959,12.532
1.0260,0.8005,-2.9801,-13.2022,13.558
1.0280,0.7464,-1.3485,-13.6007,13.688
1.0290,0.0394,1.0314,-11.9795,12.024
1.0310,-1.0567,1.1452,-8.4658,8.608
1.0320,-0.8414,1.7116,-3.6688,4.135
1.0330,0.5649,2.5945,1.8110,3.214
1.0350,0.5109,1.4581,8.5409,8.680
1.0560,0.7666,1.5172,10.5078,10.644
1.0590,-0.6855,-0.0335,10.3618,10.385
1.0610,-1.3310,-2.3234,10.2369,10.581
1.0690,-0.5104,-2.9295,10.1309,10.558
1.1260,-0.2072,-0.9335,10.0471,10.092
1.1280,-1.3105,1.3267,9.9887,10.161
1.1300,-1.9343,3.6493,9.9545,10.777
1.1310,-1.4493,5.3696,9.9403,11.390
1.1330,-1.3536,6.7209,9.9400,12.075
1.1350,-0.8736,7.4343,9.9482,12.450
1.1780,-0.9564,7.2818,9.9610,12.376
1.1800,-0.9823,6.8364,9.9768,12.134
1.1820,-0.9313,6.0724,9.9947,11.732
1.1850,-0.6576,5.4693,10.0149,11.430
1.1890,-0.5955,4.8231,10.0393,11.154
1.1920,-0.5212,3.9883,10.0680,10.842
1.2320,-0.2385,3.1134,8.0722,8.655
1.2350,0.0485,2.1897,5.8547,6.251
1.2380,0.2562,1.1270,4.5171,4.663
1.2400,0.8219,0.3831,1.7749,1.993
1.2470,1.4878,-0.2913,0.9109,1.769
1.2490,1.1230,-1.4788,0.2363,1.872
1.3110,1.0778,-2.4676,-0.9976,2.872
1.3130,0.9841,-3.5974,-2.7351,4.625
1.3150,0.5492,-4.7950,-4.4056,6.535
1.3180,0.1491,-6.1961,-6.1102,8.703
1.3210,-0.0135,-7.1618,-7.4759,10.353
1.3230,-0.1852,-7.7465,-8.6814,11.637
1.3250,-0.2471,-8.1115,-9.9746,12.859
1.3290,-0.4420,-8.4152,-11.2365,14.045
1.3570,-0.4816,-8.3734,-12.6010,15.137
1.3600,-0.5028,-8.1663,-14.0857,16.289
1.3640,-0.5315,-8.0902,-15.5044,17.496
1.3730,-0.6385,-7.9581,-16.3933,18.234
1.4390,-0.6800,-7.8220,-17.0422,18.764
1.4420,-0.6881,-7.6574,-17.6158,19.220
1.4440,-0.7204,-7.6501,-18.0790,19.644
1.4460,-0.7521,-7.6898,-18.1261,19.704
1.4480,-0.8349,-7.7743,-17.5622,19.224
1.4510,-0.8302,-8.0001,-16.8293,18.653
1.4530,-0.7961,-8.2054,-15.8582,17.873
1.4560,-0.7075,-8.2367,-14.8337,16.982
1.4580,-0.7756,-8.2195,-13.8503,16.124
1.4820,-0.7881,-8.1742,-12.9891,15.367
1.4850,-0.9371,-8.0526,-12.3976,14.813
1.4900,-1.1475,-7.8904,-11.9602,14.374
1.4970,-1.2755,-7.7778,-11.6166,14.038
1.5410,-1.4157,-7.6889,-11.2194,13.675
1.5440,-1.6334,-7.7451,-10.7982,13.389
1.5460,-0.9674,-7.0854,-10.5543,12.749
1.5480,-0.7087,-6.2539,-11.2483,12.889
1.5540,-1.1180,-5.7221,-11.7103,13.081
1.5570,-1.7052,-5.5757,-12.2649,13.580
1.5920,-1.7629,-5.4854,-12.7450,13.987
1.5940,-1.1856,-6.0025,-12.2380,13.682
1.5960,0.9354,-5.8761,-8.4764,10.356
1.5980,3.6360,-4.8378,-1.0228,6.138
1.6280,7.3739,-4.3558,10.6002,13.628
1.6300,5.6717,-3.1840,10.4011,12.267
1.6350,1.7390,-2.7263,10.2237,10.723
1.6370,-1.0388,-2.2999,10.0956,10.406
1.7250,-1.1776,-0.6606,9.9616,10.053
1.7290,-2.0862,-0.1531,9.9616,10.179
1.7310,-2.0010,1.6138,9.8987,10.227
1.7360,-1.4588,3.1464,9.8893,10.480
1.7390,-0.6273,4.7923,9.8955,11.013
1.7410,0.0803,6.1015,9.9142,11.642
1.7450,0.5037,6.5391,9.9397,11.908
1.7470,1.9879,6.6986,9.9676,12.173
1.7510,3.0982,6.6828,9.9877,12.410
1.7560,2.5252,5.6014,10.0000,11.737
1.7590,1.0868,4.4106,10.0084,10.991
1.7630,0.1012,3.4876,10.0200,10.610
1.7670,-0.0198,2.5410,10.0379,10.355
1.8160,0.1544,1.7575,10.0615,10.215
1.8210,0.1661,1.0481,10.0888,10.144
