time,ax,ay,az,aT
1.2260,-0.1772,0.1437,0.3343,0.405
1.2290,-0.2613,-0.0444,0.5576,0.617
1.2370,-0.2627,-0.1039,0.8177,0.865
1.2450,-0.0976,-0.1371,1.0052,1.019
1.2550,-0.1285,-0.1338,1.3689,1.381
1.2650,0.0567,-0.2259,1.6127,1.629
1.2740,-0.0790,-0.3903,1.6270,1.675
1.2970,-0.0277,-0.4807,1.5079,1.583
1.2990,-0.0554,-0.5127,1.2558,1.358
1.3310,0.1807,-0.5069,0.6607,0.852
1.3360,0.3728,-0.4485,0.0870,0.590
1.3390,0.5735,-0.3674,-0.4531,0.818
1.3410,0.5407,-0.3896,-0.4685,0.815
1.3430,0.3863,-0.3943,-0.2625,0.611
1.3540,0.2449,-0.2063,0.2260,0.392
1.3640,-0.1841,-0.4163,1.1585,1.245
1.3750,-0.6600,-0.5535,2.0237,2.199
1.3990,-0.7124,-0.7409,2.6665,2.858
1.4020,-0.6521,-0.7215,3.0278,3.180
1.4050,-0.2761,-0.7563,2.9812,3.088
1.4140,-0.0074,-0.8108,2.4315,2.563
1.4280,0.2983,-0.8076,1.7816,1.979
1.4400,0.6684,-0.7062,1.0114,1.403
1.4440,0.8628,-0.6876,0.4550,1.193
1.4540,0.8182,-0.4694,-0.0610,0.945
1.4630,0.5314,-0.4003,-0.5042,0.835
1.4730,0.4595,-0.3764,-0.8463,1.034
1.4940,0.3438,-0.3691,-0.9206,1.050
1.5070,0.1936,-0.3080,-0.8424,0.918
1.5090,0.1506,-0.2174,-0.6263,0.680
1.5140,0.1192,-0.4088,-0.5690,0.711
1.5340,-0.1063,-0.4348,-0.4018,0.602
1.5380,-0.1389,-0.6452,-0.5311,0.847
1.5430,-0.2089,-0.6731,-0.6499,0.959
1.5530,-0.2154,-0.8010,-1.0025,1.301
1.5630,-0.1870,-1.0137,-1.2490,1.619
1.5720,-0.2885,-1.0015,-1.2990,1.665
1.6030,-0.3899,-1.0209,-1.5835,1.924
1.6080,-0.4734,-0.9589,-1.6339,1.953
1.6130,-0.5362,-0.8030,-1.5322,1.811
1.6180,-0.4533,-0.7992,-1.4125,1.685
1.6230,-0.2110,-0.7850,-1.2893,1.524
1.6370,0.0217,-0.6546,-1.1580,1.330
1.6430,0.2418,-0.5480,-0.9945,1.161
