time,ax,ay,az,aT
1.2480,-0.1638,0.5422,-0.8861,1.052
1.2500,-0.1147,0.5655,-1.2606,1.386
1.2520,0.5105,0.5108,-1.5888,1.745
1.2550,0.2517,0.6157,-1.6073,1.739
1.2570,0.0518,0.7852,-1.3883,1.596
1.2600,-0.2768,0.7840,-1.0940,1.374
1.2680,-0.3848,0.8499,-0.5652,1.091
1.2770,-0.4571,0.6383,0.0548,0.787
1.3090,-0.3013,0.2928,0.3458,0.544
1.3120,-0.1257,0.1415,0.1131,0.220
1.3140,-0.1573,0.1924,-0.2883,0.381
1.3160,-0.1394,0.3921,-0.9790,1.064
1.3480,-0.2303,0.5508,-1.3049,1.435
1.3490,-0.2747,0.7678,-1.1958,1.447
1.3510,-0.2921,0.7830,-1.0117,1.312
1.3550,-0.1859,0.8216,-0.6279,1.051
1.3790,-0.1192,0.6597,-0.2597,0.719
1.3800,0.0128,0.5486,0.0126,0.549
1.3850,0.2333,0.3099,-0.3089,0.496
1.4270,0.9199,-0.1478,-0.5226,1.068
1.4290,1.2595,-0.6944,-0.1891,1.451
1.4300,1.3906,-0.5824,-0.1677,1.517
1.4320,1.4096,-0.4186,-0.3809,1.519
1.4360,0.9102,-0.3609,-0.4694,1.086
1.4590,0.7967,-0.3889,-0.3629,0.958
1.4610,0.5595,-0.3730,-0.3674,0.766
1.5070,0.4443,-0.2978,-0.2956,0.611
1.5080,0.3721,-0.2196,-0.2909,0.521
1.5100,0.2622,-0.2098,-0.4391,0.553
1.5120,0.1459,-0.2955,-0.2951,0.442
1.5130,0.1491,-0.2335,-0.2226,0.355
1.5140,0.0013,-0.3566,-0.0305,0.358
1.5240,-0.7236,-0.3752,0.2914,0.866
1.5450,-0.5789,-0.3993,0.8525,1.105
1.5460,-0.4971,-0.3245,1.2608,1.394
1.5540,-0.3308,-0.1955,1.5978,1.643
1.6080,-0.3536,-0.1580,1.8209,1.862
1.6110,-0.3035,-0.2086,1.5041,1.549
1.6130,0.0024,-0.3654,0.9291,0.998
1.6150,0.2371,-0.3828,0.4118,0.610
1.6170,0.5968,-0.2972,-0.3405,0.749
1.6190,0.6842,-0.3576,-0.9452,1.220
1.6280,0.4446,-0.3083,-0.9332,1.079
1.6340,-0.1272,-0.2297,-0.8067,0.848
1.6440,-0.2817,-0.0728,-0.2827,0.406
1.6720,-0.5085,0.1102,0.3049,0.603
1.6780,-0.5860,0.1003,0.3488,0.689
1.6900,-0.2758,0.0446,0.3328,0.435
1.6920,0.2221,0.0049,0.1275,0.256
1.6940,0.3958,-0.0595,-0.0185,0.401
1.7330,0.5327,-0.2550,-0.0537,0.593
1.7350,0.4991,-0.3955,-0.1267,0.649
1.7360,0.5608,-0.3732,-0.4150,0.791
1.7370,0.7817,-0.3970,-0.5601,1.040
1.7430,0.7859,-0.4061,-0.9834,1.323
1.7530,0.5297,-0.4956,-1.1640,1.372
1.7810,0.2136,-0.5826,-1.3561,1.491
1.7830,0.1503,-0.4535,-1.5308,1.604
1.7850,0.2820,-0.2838,-1.3726,1.430
1.7930,0.3277,-0.1496,-1.3023,1.351
1.8250,0.3703,-0.0908,-1.1088,1.173
1.8270,0.4187,-0.1866,-0.7389,0.870
1.8270,0.4975,-0.4393,-0.2828,0.721
1.8330,0.5509,-0.6281,-0.2327,0.867
1.8420,0.7001,-0.5044,-0.4584,0.977
1.8520,0.6958,-0.4015,-0.6586,1.039
1.8700,0.6353,-0.4012,-0.5612,0.938
1.8780,0.5695,-0.2204,-0.6260,0.875
1.9270,0.5278,-0.1909,-0.5759,0.804
1.9300,0.4115,-0.1402,-0.5017,0.664
1.9330,0.3919,-0.0638,-0.5711,0.696
1.9340,0.3476,-0.0365,-0.1670,0.387
1.9360,0.3062,0.1344,-0.1982,0.389
1.9480,0.3423,0.0067,-0.2445,0.421
1.9490,0.3677,-0.1131,-0.3299,0.507
1.9630,0.3018,-0.1389,-0.0478,0.336
1.9640,0.1757,-0.0931,0.2572,0.325
1.9810,0.3816,0.1482,0.2410,0.475
1.9820,0.5497,0.2117,-0.2974,0.660
2.0050,0.5686,0.5724,-2.1365,2.284
2.0060,-0.6785,0.1653,-1.1621,1.356
2.0290,-0.6883,0.5452,0.3865,0.959
2.0310,-0.0638,1.0031,0.5965,1.169
2.0320,-0.1410,0.5388,-0.1258,0.571
2.0520,-0.3015,-0.0482,-0.9442,0.992
2.0530,-0.0237,0.0028,-1.6244,1.625
2.0630,0.5859,0.2818,-1.8040,1.918
2.0710,0.8250,0.4478,-1.5076,1.776
2.1020,0.6397,0.3705,-1.3330,1.524
2.1030,0.4372,0.1895,-1.0930,1.192
2.1050,0.3964,-0.0997,-0.8970,0.986
