time,ax,ay,az,aT
1.2220,-1.7252,-4.6499,-7.3127,8.836
1.2310,-1.6550,-4.6324,-7.7227,9.156
1.2600,-1.5317,-4.5797,-8.3260,9.625
1.2620,-1.5571,-4.5481,-8.7446,9.979
1.2630,-1.6351,-4.3871,-8.9529,10.103
1.2650,-1.6183,-4.1131,-9.1419,10.154
1.2760,-1.5915,-3.9077,-9.1612,10.086
1.2860,-1.3633,-3.5814,-8.9253,9.713
1.3080,-1.0181,-3.2470,-8.4358,9.096
1.3100,-0.5532,-2.8215,-7.8483,8.358
1.3150,-0.0858,-2.7045,-7.5900,8.058
1.3290,-0.2456,-2.6452,-7.7190,8.163
1.3600,-0.4293,-2.9392,-8.1432,8.668
1.3620,-0.7555,-3.1868,-8.6291,9.230
1.3640,-1.2462,-2.7021,-7.6993,8.254
1.3660,-2.1341,-1.5809,-6.1326,6.683
1.3750,-2.7661,0.5998,-3.4368,4.452
1.3850,-2.5880,3.8955,-0.5934,4.714
1.4210,-2.4032,4.1827,1.2141,4.974
1.4240,-1.4115,3.5983,2.4401,4.571
1.4260,-0.7698,3.4786,6.3393,7.272
1.4270,0.7542,4.5811,10.2445,11.247
1.5060,4.0334,5.3807,10.1940,12.212
1.5090,5.1631,4.9013,10.1352,12.386
1.5100,4.4386,3.6242,10.0792,11.594
1.5120,5.5506,1.9033,10.0377,11.627
1.5140,7.6351,1.7667,10.0222,12.722
1.5160,5.7076,1.6044,10.0233,11.645
1.5170,3.5313,2.0868,10.0377,10.843
1.5190,1.6560,2.9444,10.0589,10.611
1.5210,0.8728,3.8150,10.0812,10.814
1.5280,0.7120,4.1837,10.1001,10.955
1.5330,1.1412,4.1244,10.1148,10.983
1.5630,1.2285,3.8388,10.1255,10.898
1.5740,0.8251,3.5270,10.1339,10.762
1.5760,0.3392,3.1806,10.1430,10.635
1.5780,-0.0054,2.6667,10.1534,10.498
1.6050,-0.1630,2.1578,10.0793,10.309
1.6080,-0.2721,1.4843,7.3704,7.523
1.6090,0.0814,0.7469,3.9106,3.982
1.6320,0.8409,0.0331,-0.2871,0.889
1.6340,1.0420,-0.4820,-4.3726,4.521
1.6350,0.9129,-1.3274,-7.8376,8.001
1.7270,-0.4080,-2.2923,-12.5171,12.732
1.7300,-0.8978,-2.8875,-14.3387,14.654
1.7330,-1.1092,-3.3223,-14.7424,15.153
1.7360,-0.9423,-2.7248,-14.0889,14.381
1.7390,-0.4541,-2.7123,-12.4112,12.712
1.7460,-1.0181,-4.5416,-12.6832,13.510
1.7490,-1.8433,-5.3234,-13.5769,14.699
1.7530,-2.4242,-4.8765,-14.0428,15.062
1.7570,-2.8168,-5.0808,-15.3682,16.430
1.7600,-0.1735,-5.3183,-16.1501,17.004
1.7630,0.9332,-5.2360,-17.6731,18.456
1.7660,1.2059,-4.9906,-18.6317,19.326
1.7690,0.9578,-5.3101,-16.8210,17.665
1.7720,-0.5508,-5.9312,-15.1466,16.276
1.7850,-1.3729,-5.3157,-13.4222,14.502
1.8120,-0.6184,-3.8424,-12.3667,12.965
1.8150,-0.7836,-3.6174,-12.0708,12.626
1.8170,0.2231,-3.7975,-9.3092,10.056
1.8220,0.5581,-3.9487,-6.9137,7.981
1.8650,1.5387,-3.6744,-5.1562,6.516
1.8670,2.7595,-2.7857,-4.8675,6.250
1.8690,1.8309,-2.9944,-6.0183,6.967
1.8710,0.6783,-3.5987,-7.6712,8.500
1.8730,-0.3102,-3.2033,-7.3049,7.982
1.9150,-1.3033,-2.3214,-6.3889,6.921
1.9160,-1.4086,-1.7425,-5.8720,6.285
1.9180,-0.9377,-1.1604,-6.4345,6.605
1.9190,-0.8974,-0.7294,-7.7654,7.851
