time,ax,ay,az,aT
0.0050,-1.6416,-0.7915,1.1134,2.136
0.0070,-1.2941,-0.7219,0.5754,1.590
0.0150,-0.7971,-0.6165,-0.3850,1.079
0.0540,-0.2045,-0.6796,-2.1699,2.283
0.0550,-0.0482,-0.8083,-1.4653,1.674
0.0560,-0.2114,-0.8276,-1.1374,1.422
0.0580,-0.4767,-0.2713,-0.7876,0.960
0.0880,-0.7605,0.1774,-0.0590,0.783
0.0900,-1.1170,0.0666,0.6209,1.280
0.0910,-1.2785,-0.0468,1.8897,2.282
0.0930,-1.1508,-0.0231,2.4943,2.747
0.1020,-0.6038,0.0130,1.9721,2.063
0.1360,0.1025,0.0745,1.1859,1.193
0.1380,0.5684,0.1354,0.8080,0.997
0.1430,0.7097,0.0251,0.4488,0.840
0.1440,0.8415,-0.1880,-0.6356,1.071
0.1870,0.7622,-0.0721,0.5647,0.951
0.1890,0.6667,-0.0211,0.7675,1.017
0.1900,0.3084,0.0120,1.6380,1.667
0.1920,0.3896,0.0534,0.2573,0.470
0.1940,0.2975,0.2537,-0.0247,0.392
0.2010,0.4963,0.4561,-0.4697,0.822
0.2330,0.5444,0.3224,-0.6357,0.897
0.2340,0.8267,-0.0420,-2.0695,2.229
0.2360,0.9566,-0.2112,-0.5151,1.107
0.2740,1.0864,-0.4210,1.2990,1.745
0.2780,1.3642,-0.3108,3.6763,3.934
0.2790,1.7484,-0.3613,1.4495,2.300
0.2800,1.2425,-0.5928,-0.2429,1.398
0.2820,0.7143,-0.5341,0.5643,1.055
0.3040,0.2679,-0.6414,0.0191,0.695
0.3050,0.4142,-0.6054,-1.0992,1.321
0.3090,0.5803,-0.6816,-2.6240,2.772
0.3430,0.6116,-0.6863,-3.1998,3.329
0.3450,0.8144,-0.6955,-3.3347,3.502
0.3460,1.1358,-0.6156,-3.4407,3.675
0.3560,1.3075,-0.6368,-3.0299,3.361
0.3880,1.4801,-0.7424,-2.6739,3.145
0.3900,1.6241,-0.7780,-2.4967,3.078
0.3910,1.8196,-0.7156,-2.3738,3.075
0.3920,2.0449,-0.6519,-2.2787,3.130
0.3990,1.8831,-0.6037,-2.1385,2.913
0.4380,1.7427,-0.6200,-2.2359,2.902
0.4400,1.6233,-0.5840,-2.1759,2.777
0.4420,1.5355,-0.4957,-2.1382,2.679
0.4440,1.4028,-0.3844,-1.9954,2.469
0.4510,1.2947,-0.3075,-1.9277,2.342
0.4590,1.2309,-0.2556,-1.9668,2.334
0.4900,1.1430,-0.0188,-1.8627,2.185
0.4910,0.9749,0.2824,-1.4709,1.787
0.4930,0.6523,0.3542,-1.5047,1.678
0.5380,0.2754,0.2298,-1.6988,1.736
0.5390,-0.2009,0.1352,-1.8681,1.884
0.5420,-0.4986,0.1436,-1.7463,1.822
0.5430,-0.3158,0.1777,-1.4934,1.537
0.5440,0.1624,0.2759,-1.0160,1.065
0.5520,0.5214,0.4167,-0.1836,0.692
0.5590,0.8228,0.4530,0.1912,0.959
0.5910,1.1357,0.2678,1.2540,1.713
0.5920,1.6447,0.0172,2.2999,2.827
0.5940,2.0215,0.5035,2.1091,2.965
